编码,中文名称,拼音名称,区域级别,上级区域编码,短名字,后缀
360600,鹰潭市,ying tan shi,3,360000,鹰潭,市
210800,营口市,ying kou shi,3,210000,营口,市
431100,永州市,yong zhou shi,3,430000,永州,市
610800,榆林市,yu lin shi,3,610000,榆林,市
450900,玉林市,yu lin shi,3,450000,玉林,市
632700,玉树藏族自治州,yu shu zang zu zi zhi zhou,3,630000,玉树,藏族自治州
530400,玉溪市,yu xi shi,3,530000,玉溪,市
430600,岳阳市,yue yang shi,3,430000,岳阳,市
445300,云浮市,yun fu shi,3,440000,云浮,市
140800,运城市,yun cheng shi,3,140000,运城,市
370400,枣庄市,zao zhuang shi,3,370000,枣庄,市
440800,湛江市,zhan jiang shi,3,440000,湛江,市
430800,张家界市,zhang jia jie shi,3,430000,张家界,市
130700,张家口市,zhang jia kou shi,3,130000,张家口,市
620700,张掖市,zhang ye shi,3,620000,张掖,市
350600,漳州市,zhang zhou shi,3,350000,漳州,市
530600,昭通市,zhao tong shi,3,530000,昭通,市
441200,肇庆市,zhao qing shi,3,440000,肇庆,市
321100,镇江市,zhen jiang shi,3,320000,镇江,市
410100,郑州市,zheng zhou shi,3,410000,郑州,市
442000,中山市,zhong shan shi,3,440000,中山,市
640500,中卫市,zhong wei shi,3,640000,中卫,市
500200,重庆市郊区,chong qing shi jiao qu,3,500000,重庆市郊,区
500100,重庆市辖区,chong qing shi xia qu,3,500000,重庆市辖,区
330900,舟山市,zhou shan shi,3,330000,舟山,市
411600,周口市,zhou kou shi,3,410000,周口,市
430200,株洲市,zhu zhou shi,3,430000,株洲,市
440400,珠海市,zhu hai shi,3,440000,珠海,市
411700,驻马店市,zhu ma dian shi,3,410000,驻马店,市
512000,资阳市,zi yang shi,3,510000,资阳,市
370300,淄博市,zi bo shi,3,370000,淄博,市
510300,自贡市,zi gong shi,3,510000,自贡,市
520300,遵义市,zun yi shi,3,520000,遵义,市
513201,马尔康市,ma er kang shi,4,513200,马尔康,市
513221,汶川县,wen chuan xian,4,513200,汶川,县
513222,理县,li xian,4,513200,理县,
513223,茂县,mao xian,4,513200,茂县,
513224,松潘县,song pan xian,4,513200,松潘,县
513225,九寨沟县,jiu zhai gou xian,4,513200,九寨沟,县
513226,金川县,jin chuan xian,4,513200,金川,县
513227,小金县,xiao jin xian,4,513200,小金,县
513228,黑水县,hei shui xian,4,513200,黑水,县
513230,壤塘县,rang tang xian,4,513200,壤塘,县
513231,阿坝县,a ba xian,4,513200,阿坝,县
513232,若尔盖县,ruo er gai xian,4,513200,若尔盖,县
513233,红原县,hong yuan xian,4,513200,红原,县
652901,阿克苏市,a ke su shi,4,652900,阿克苏,市
652922,温宿县,wen xiu xian,4,652900,温宿,县
652923,库车县,ku che xian,4,652900,库车,县
652924,沙雅县,sha ya xian,4,652900,沙雅,县
652925,新和县,xin he xian,4,652900,新和,县
652926,拜城县,bai cheng xian,4,652900,拜城,县
652927,乌什县,wu shen xian,4,652900,乌什,县
652928,阿瓦提县,a wa ti xian,4,652900,阿瓦提,县
652929,柯坪县,ke ping xian,4,652900,柯坪,县
659002,阿拉尔市,a la er shi,4,659002,阿拉尔,市
152921,阿拉善左旗,a la shan zuo qi,4,152900,阿拉善,左旗
152922,阿拉善右旗,a la shan you qi,4,152900,阿拉善,右旗
152923,额济纳旗,e ji na qi,4,152900,额济纳,旗
654301,阿勒泰市,a le tai shi,4,654300,阿勒泰,市
654321,布尔津县,bu er jin xian,4,654300,布尔津,县
654322,富蕴县,fu yun xian,4,654300,富蕴,县
654323,福海县,fu hai xian,4,654300,福海,县
654324,哈巴河县,ha ba he xian,4,654300,哈巴河,县
654325,青河县,qing he xian,4,654300,青河,县
654326,吉木乃县,ji mu nai xian,4,654300,吉木乃,县
542521,普兰县,pu lan xian,4,542500,普兰,县
542522,札达县,zha da xian,4,542500,札达,县
542523,噶尔县,ga er xian,4,542500,噶尔,县
542524,日土县,ri tu xian,4,542500,日土,县
542525,革吉县,ge ji xian,4,542500,革吉,县
542526,改则县,gai ze xian,4,542500,改则,县
542527,措勤县,cuo qin xian,4,542500,措勤,县
